Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
DEMO4543231,239056645377,06/30/2025 08:45:58,2025-06-30,3.75,"49,961.64", Trade Paired,USD,MESU5
DEMO4543231,239056645382,06/30/2025 09:00:00,2025-06-30,-0.35,"49,961.29", Exchange Fee,USD,MESU5
DEMO4543231,239056645383,06/30/2025 09:00:00,2025-06-30,-0.19,"49,961.10", Clearing Fee,USD,MESU5
DEMO4543231,239056645384,06/30/2025 09:00:00,2025-06-30,-0.02,"49,961.08", Nfa Fee,USD,MESU5
DEMO4543231,239056645385,06/30/2025 09:00:00,2025-06-30,-0.35,"49,960.73", Commission,USD,MESU5
DEMO4543231,239056645391,06/30/2025 09:00:01,2025-06-30,-0.50,"49,960.23", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645392,06/30/2025 09:00:01,2025-06-30,-0.19,"49,960.04", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645393,06/30/2025 09:00:01,2025-06-30,-0.02,"49,960.02", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645394,06/30/2025 09:00:01,2025-06-30,-0.35,"49,959.67", Commission,USD,MGCQ5
DEMO4543231,239056645400,06/30/2025 09:00:23,2025-06-30,-0.50,"49,959.17", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645401,06/30/2025 09:00:23,2025-06-30,-0.19,"49,958.98", Clearing Fee,USD,MGCQ5
